rule;support_2016Q1;support_2017Q1;support_2018Q1;support_2019Q1;support_2020Q1;support_2021Q1;support_2022Q1;support_2016Q2;support_2017Q2;support_2018Q2;support_2019Q2;support_2020Q2;support_2021Q2;support_2022Q2;support_2016Q3;support_2017Q3;support_2018Q3;support_2019Q3;support_2020Q3;support_2021Q3;support_2022Q3;support_2016Q4;support_2017Q4;support_2018Q4;support_2019Q4;support_2020Q4;support_2021Q4;support_2022Q4;lift_2016Q1;lift_2017Q1;lift_2018Q1;lift_2019Q1;lift_2020Q1;lift_2021Q1;lift_2022Q1;lift_2016Q2;lift_2017Q2;lift_2018Q2;lift_2019Q2;lift_2020Q2;lift_2021Q2;lift_2022Q2;lift_2016Q3;lift_2017Q3;lift_2018Q3;lift_2019Q3;lift_2020Q3;lift_2021Q3;lift_2022Q3;lift_2016Q4;lift_2017Q4;lift_2018Q4;lift_2019Q4;lift_2020Q4;lift_2021Q4;lift_2022Q4;disclosure;financial-reports;information-about-bank;annual-reports;covered-bonds;root-financial-indicators;information-for-shareholders;financial-statement;information-for-investors-except-shareholders
financial-reports, covered-bonds, annual-reports, information-for-shareholders, information-about-bank:root-financial-indicators;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;0,000349895;0,000181258;;;;;;2,955695128;4,922188755;;;;;;5,806649616;;;;;;;;1,5,5152;;;;;;6,555045872;7,614906832;;;;;;1;1;1;1;1;1;1;0;0
annual-reports, financial-statement, information-about-bank, root-financial-indicators:information-for-shareholders, financial-reports;;;;;;;;;;;;;;;;;;;;;;0,000116632;;;;;;;;;;;;;;;;;;;;;;;;;;;;306,2142857;;;;;;;1;1;1;1;0;1;1;1;0
covered-bonds, information-about-bank, root-financial-indicators:information-for-shareholders, annual-reports;;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;;;;;;;;;297,1212121;;;;;;493,5652174;;;;;;;;492,4285714;;;;;;;;;;;;;1;0;1;1;1;1;1;0;0
covered-bonds, information-about-bank, root-financial-indicators:financial-reports;;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;;;;;;;;;7,333582648;;;;;;11,70309278;;;;;;;;10,46130501;;;;;;;;;;;;;1;1;1;0;1;1;0;0;0
information-for-shareholders, covered-bonds, information-about-bank:financial-reports;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;;0,000181258;;;;;;6,213024086;7,333582648;;;;;;11,70309278;;;;;;;;10,46130501;;;;;;;11,76332623;;;;;;1;1;1;0;1;0;1;0;0
information-for-shareholders, annual-reports, financial-statement, information-about-bank:financial-reports, root-financial-indicators;0,000172295;;;;;;;;0,000119161;;;;;;;;;;;;;0,000116632;;;;;;;28,03864734;;;;;;;;53,4522293;;;;;;;;;;;;;43,96923077;;;;;;;1;1;1;1;0;1;1;1;0
information-for-shareholders, covered-bonds, information-about-bank:financial-reports, annual-reports;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;;0,000181258;;;;;;28,6617284;30,54517134;;;;;;54,57692308;;;;;;;;37,87912088;;;;;;;55,17;;;;;;1;1;1;1;1;0;1;0;0
financial-reports, covered-bonds:annual-reports, information-about-bank;0,008385022;0,008567058;0,006280459;0,006561906;;;;0,006871036;0,011320305;0,005739514;0,005609684;;;;;0,012039455;0,007571863;0,004544727;;;;0,010730114;0,009969186;0,007956879;0,001638124;;;;32,22809331;26,52560386;40,65271488;35,52760736;;;;43,25627748;32,86909915;40,27619949;38,51743229;;;;;28,03262787;42,8757515;48,6682243;;;;33,67520492;39,20095601;33,85015527;50,59246575;;;;1;1;1;1;1;0;0;0;0
financial-reports, covered-bonds, financial-statement, annual-reports:information-about-bank;;;;;;;;;;;;;;;;0,000290107;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,384641992;;;;;;;;;;;;;1;1;1;1;1;0;0;1;0
information-for-shareholders, covered-bonds, information-about-bank, annual-reports:financial-reports, root-financial-indicators;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;;0,000181258;;;;;;28,03864734;28,92330383;;;;;;43,32824427;;;;;;;;40,31578947;;;;;;;59,64324324;;;;;;1;1;1;1;1;1;1;0;0
